src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
In the morning, they're too afraid to come forward and implicate themselves. 	 Le matin, elles 	 I'm John. I'm Kate. Kate Leman. Photos are some kind of sick trophies of his victims. Benton convinces these women to do coke with him slips them a sedative and rapes them. 	 Je m'appelle John. Kate. Kate Leman. Ces photos sont comme les trophées de ses victimes. Benton invite ces  femmes  à prendre de la coke, leur glisse un sédatif et les viole. 	 None 	 femmes 
Where'd they come from this time of year? 	 D'où elles 	 Throat cut ear to ear, but strangled, too. Guess we're looking for a guy who wears a belt and suspenders. What's up with the flowers? Lilies, tulips... Probably fresh, what, a week? 	 Égorgée d'une oreille à l'autre, mais aussi étranglée. Je suppose qu'on recherche un type avec ceinture et bretelles. C'est quoi le truc avec les  fleurs  ? Des lys, des tulipes, ... Assez fraîches pour avoir, quoi, une semaine ? 	 None 	 fleurs 
I'm going to hang them on the tree out front, spray-paint them... and they're going to be these clever little organic ghosts. 	 Je vais les pendre sur l'arbre devant, les peindre à l'Aérographe... et elles 	 They just look dull and depressing. There's no contrast. Why would I wear a condom at the gym? Maybe because you're screwing that twink trainer of yours. And I need gourds. 	 Mais elles sont ternes et déprimantes. Il n'y a aucun contraste. Pourquoi je mettrais un préservatif au gymnase ? Peut-être parce que tu sautes ton petit entraîneur. Et il me faut des  gourdes . 	 None 	 gourdes 
No, it's stopping, looks like. 	 Non, on dirait qu'il 	 Have these cameras been rolling the whole time? Yep, from the moment they dropped it to when the tornado hit. It's not pointed at the Suttons' trailer, but it should show us anyone on the street. There's our intrepid storm chasers putting it down. Walter, is that vehicle leaving? 	 Est-ce que ces caméras ont tourné tout le temps ? Oui, depuis le moment où elles démarré jusqu'à ce que la tornade frappe. Ce n'est pas pointé vers la caravane des Suttons, mais ça devrait nous montrer quelqu'un dans la rue. Il y a nos chasseurs de tornade intrépides. Walter, est-ce que ce  véhicule  s'en va? 	 None 	 véhicule 
Do you know how much it costs? 	 Tu sais combien elle 	 You didn't do that? Adrie, did you do that? - Yes. Goddammit, Adrie. That car is brand new. 	 T'as pas fait ça ? Adrie, c'est toi qui a fait ça ? - Ouais ! bordel de merde, Adrie. Cette  voiture  est toute neuve ! 	 None 	 voiture 
If it was under the implement that was used to strangle her, I'd expect to see an impression of the chain on her neck. 	 S'il 	 Yeah. It's odd no contusions emerged on her neck - even after refrigeration. - You know, it is possible that she could've been strangled with something like a sleeveless shirt or a towel. Spreading out the trauma, making it indiscernible. What about that necklace she was wearing? 	 Ouais. C'est étrange, il n'y a pas de contusions apparues sur son cou même après réfrigération. Tu sais, il est possible qu'elle ait pu être étranglée avec quelque chose comme un tee-shirt sans manches ou une serviette. L'étalement du traumatisme les rendant indiscernables. Qu'en est-il du  collier  qu'elle portait ? 	 None 	 collier 
Don't worry, they can be bad. 	 T'inquiète pas, elles 	 At least let him grill you a steak in his fireplace while watching black and white television. It's more charming than you'd think. I'll pass. You know what, I do have a list of girlfriends that might make good candidates. They can't just be good. 	 Laisse-le au moins te cuire un steak dans sa cheminée pendant que vous regarderez la télévision en noir et blanc. Ça a plus de charme que tu ne le penses. Je passe mon tour. Tu sais quoi, j'ai une liste d' amies  qui pourraient faire de bonnes candidates. Juste bonnes, c'est pas assez. 	 None 	 amies 
The more you chase, he more they're gonna run. 	 Plus tu les poursuis, plus elles 	 Jack's Pride. You would have lost all our money, all over a woman. Mary Barrett isn't just any woman. What did I tell you about women? They're like wild horses. 	 Jack's Pride. T'aurais perdu tout cet argent, juste pour une femme. Mary Barrett n'est pas juste une femme. Je t'ai dit quoi sur les  femmes  ? De vrais chevaux sauvages. 	 None 	 femmes 
I don't believe they were known to you, they just disappeared from local bus stops. 	 Je ne crois pas qu'elles 	 Mary Bastholme. Carol Cooper. Lucy Partington. Shirley Hubbard. Those women didn't stay at your house. 	 Mary Bastholme. Carol Cooper. Lucy Partington. Shirley Hubbard. Ces  femmes  n'ont pas séjourné chez vous. 	 None 	 femmes 
Yes. I haven't seen it myself yet, but I'm convinced it's in the safety deposit box at the bank. 	 Oui. qu'il 	 Director. It's Lee Jung Woo. What is it? I found the message Dr. Kim Myung Guk left behind. He left a message? 	 Directeur. C'est Lee Jung Woo. Qu'est-ce qu'il y a ? J'ai compris le message que le Dr Kim Myung Guk a laissé. Il a laissé un  message  ? 	 None 	 message 
Bills they make are completely undetectable. 	 Les billets qu'elles 	 Go ahead. What's it look like, Ricky? It's not bad, boss. Not bad ain't gonna cut it for me, man. Those plates are straight from the U.S. Department of Printing and Engraving. 	 Vas-y. De quoi ça l'air, Ricky? C'est pas mal, patron. Pas mal c'est pas ca qui me fera pas prendre mon pote. Ces  plaques  viennent directement du département de gravure et d'impression des États-Unis. 	 None 	 plaques 
Oh, it works. 	 Oh, elle 	 I don't know why I'm quoting a rapist. Can't we just stay a little bit longer? We don't have any A.C. at home. I have an A.C. you girls can use. You have an air conditioner that works? 	 Je ne sais pas pourquoi je cite un violeur. Peut-on juste rester là un tout petit peu plus longtemps ? On n'a pas la clim la maison. J'ai une climatisation que vous pouvez utiliser les filles. Tu as une  climatisation  qui fonctionne ? 	 None 	 climatisation 
You did say it was a great idea. 	 Tu as dit qu'elle 	 It's what I love about interviewing. I get to meet all these people I wouldn't ordinarily meet, or know, or even talk to. Message in a bottle, the postman-- Kevin Costner. So... I found this grease. And then I remembered that you thought it was a great idea. 	 J'adore les entretiens. Je rencontre des gens que je n'aurais jamais rencontrés. - Une Bouteille à la mer, Postman... - Kevin Costner. Alors... j'ai trouvé de la graisse, et t'avais trouvé l' idée  super. 	 None 	 idée 
They want to feel like they're in control, and eventually, once they think they've won, they'll just walk away. 	 Elles veulent ressentir le pouvoir. Quand elles 	 Oh, the bully might be winning right now, but my time will come. Time will come. No, your time is now, Brick. You got to stand up to this guy, and let him know that he can't mess with you. Actually, I find that most bullies just want to feel heard. 	 La brute peut gagner maintenant, mais mon jour viendra. Mon jour viendra. Ton jour, c'est maintenant, Brick. Tu dois lui tenir tête, lui faire savoir qu'il peut pas te chercher. Les  brutes  veulent juste qu'on les écoute. 	 None 	 brutes 
And they will be alone in a vast, dark, empty expanse. 	 Et elles 	 Let me explain. Imagine that I'm in a distant galaxy that you can see from Earth. As the space between us stretches, there will come a time in the future when it is expanding so rapidly that light can't outrun it, and the galaxy will disappear from view. What this means is that, far into the future, some 100 billion years from now, if intelligent life forms still exist in our galaxy, they'll look out into space and see only the stars in our own Milky Way. All the other galaxies will have disappeared. 	 Je vous explique. Imaginez que je sois dans une galaxie lointaine visible de la Terre. Tandis que l'espace entre nous s'étire, à un moment future l'expansion sera si rapide que la lumière ne pourra la dépasser, et la galaxie disparaîtra. Se qui veut dire que dans un avenir lointain, environ 100 milliards d'années si des formes de vie intelligente existent encore dans notre galaxie, elle verront uniquement les  étoiles  de notre galaxie. Toutes les autres galaxies auront disparues. 	 None 	 étoiles 
As space expanded, it stretched through the spectrum from visible light down into microwaves. 	 Tandis que l'espace se dilatait elle 	 Here it is just a few hundred thousand years old. At this point, something very strange happens, because the universe suddenly becomes transparent to visible light as atoms form. It's as though a fog has lifted and light is suddenly able to travel freely through the universe. At every point in space, photons began to travel unimpeded and the entire universe is filled with a blinding light. But this light, released in the hot turmoil of the early universe, didn't stay bright for ever. 	 Là il est âgé de seulement quelques centaines de milliers d'années. A cette instant quelque chose de très étrange s'est produit, parce que l'univers est soudainement devenu transparent à la lumière tandis que se formaient les atomes. Une sorte de brouillard a disparu et la lumière fut capable de voyager librement dans l'univers. A chaque endroit de l'espace, des photons ont commencés a voyager librement et l'univers entier fut rempli d'une lumière aveuglante. Mais cette  lumière  relâchée pendant la jeunesse chaude de l'univers, à diminuée en intensité. 	 None 	 lumière 
Here it is just a few hundred thousand years old. 	 Là il 	 And it turned out it was. It just happened to be in a rather unusual form. As unlikely as it sounds, the relic of the Big Bang fireball was actually visible on television. Let me explain how this is possible. Imagine this balloon is our universe. 	 Et il fut révélé que c'était le cas. C'est juste arrivé d'une façon et sous une forme assez inusuelle. Aussi étrange qu'il y parait la relique de la boule de feu du Big Bang était visible à la télévision. Je vous explique comment c'est possible. Imaginez que ce  ballon  est notre univers. 	 None 	 ballon 
But it has real potential. 	 Mais elle 	 How did I know you'd be back? I haven't been able to get this house out of my mind. Mrs. Harmon is out. But I'd be happy to show you whatever you want to see. As you can see, this room belongs to a sad, depressed teenager. 	 Comment j'ai deviné que vous reviendriez ? Je n'ai pas pu me sortir cette maison de la tête. Mme Harmon est sortie. Mais je serai heureuse de vous montrer ce que vous voulez voir. Comme vous le voyez, c'est la  chambre  d'une triste adolescente. 	 None 	 chambre 
I guess nobody would believe it still fits. 	 Difficil 	 - Yeah, I'm serious. It's funny. - Loser. - Yeah. Do you think anyone's gonna notice I've worn this costume before when I wasn't pregnant? 	 - Ouais, sérieux. Marrant. - Loser. - Trop. Tu crois qu'on va remarquer que j'ai déjà mis ce  déguisement  avant d'être enceinte ? 	 None 	 déguisement 
But if they were meant to be, they will happen. 	 Mais si elles 	 Yeah, a welcome one. You know, the Swedish women today, they're always trying so hard to be something that they're not, but, Danielle, she's so comfortable with herself. She always has been. Magnus, what are you saying? I'm saying that, sometimes, things can take a long time. 	 Oui, une bienvenue. Tu sais, les femmes suédoises d'aujourd'hui, elles essayent toujours d'être quelque qu'elles ne sont pas, mais Danielle, elle est tellement à l'aise avec elle-même. Elle l'a toujours été. Magnus, que viens-tu de dire? J'ai dit que, parfois, les  choses  peuvent prendre beaucoup de temps. 	 None 	 choses 
